noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,LOT-0001,cpv,90919300,90911200,
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,LOT-0002,cpv,90919300,90911300,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0001,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0002,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0003,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0004,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0005,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0006,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0007,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0008,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0009,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0010,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0011,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0012,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0013,cpv,64112000,,
c08a2d81-686f-463a-8dba-252b629bfd0a,01,LOT-0014,cpv,64112000,,
4e332a71-bcc9-4ecd-8802-5dbb477b85e3,01,,cpv,79952000,"79952100,79953000",
4e332a71-bcc9-4ecd-8802-5dbb477b85e3,01,LOT-0001,cpv,79952000,"79952100,79953000",
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,,cpv,45112710,,
ea2006a9-9224-467d-865e-5dd8134a2dbd,01,LOT-0000,cpv,45112710,,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,,cpv,45223220,,
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,LOT-0001,cpv,45223220,,
28c8aa4c-208a-46f3-b333-35c568928d49,01,,cpv,79952000,"79956000,79340000",
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0001,cpv,79952000,79956000,
28c8aa4c-208a-46f3-b333-35c568928d49,01,LOT-0002,cpv,79340000,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,,cpv,44613700,,
7974c8fb-a1a8-4c8a-a703-742399e2eca0,01,LOT-0001,cpv,44613700,,
