noticeIdentifier,noticeVersion,lotIdentifier,procedureLotResultNumber,winnerChosen,notAwardedReason,frameworkMaximumValue,frameworkMaximumValueCurrency,frameworkEstimatedValue,frameworkEstimatedValueCurrency,tenderValueLowest,tenderValueLowestCurrency,tenderValueHighest,tenderValueHighestCurrency
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0023,15,clos-nw,ins-fund,,,,,,,,
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0024,16,selec-w,,,,,,3410.00,EUR,13848.77,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0025,17,selec-w,,,,,,3205.00,EUR,9000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0026,18,selec-w,,,,,,6681.12,EUR,12357.78,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0027,19,selec-w,,,,,,5986.00,EUR,8803.16,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0028,20,selec-w,,,,,,5050.00,EUR,10959.08,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0029,21,selec-w,,,,,,4082.00,EUR,8250.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0003,22,selec-w,,,,,,0.00,EUR,8250.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0030,23,selec-w,,,,,,9000.00,EUR,9000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0031,24,selec-w,,,,,,6450.00,EUR,10807.48,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0032,25,selec-w,,,,,,5900.00,EUR,11869.22,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0033,26,selec-w,,,,,,3950.00,EUR,9500.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0034,27,selec-w,,,,,,4345.00,EUR,10465.03,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0035,28,selec-w,,,,,,5199.75,EUR,9000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0036,29,selec-w,,,,,,3899.00,EUR,9750.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0037,30,selec-w,,,,,,3280.00,EUR,13200.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0004,31,selec-w,,,,,,0.00,EUR,8250.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0005,32,selec-w,,,,,,6725.00,EUR,10000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0006,33,selec-w,,,,,,5656.00,EUR,11000.00,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0007,34,selec-w,,,,,,4553.75,EUR,9312.66,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0008,35,selec-w,,,,,,5387.30,EUR,26630.28,EUR
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0009,36,selec-w,,,,,,5387.30,EUR,9750.00,EUR
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,LOT-0001,0,selec-w,,,,,,,,,
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,LOT-0001,0,selec-w,,,,,,,,,
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,LOT-0001,0,selec-w,,,,,,,,,
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,LOT-0001,0,selec-w,,,,,,,,,
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,LOT-0001,0,selec-w,,,,,,,,,
89a419d8-3f95-4702-993f-d8beec8f6caa,01,LOT-0001,0,selec-w,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0001,0,selec-w,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0002,1,selec-w,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0003,2,selec-w,,,,,,,,,
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0004,3,selec-w,,,,,,,,,
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,LOT-0001,0,selec-w,,,,,,,,,
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,LOT-0000,0,selec-w,,,,,,,,,
6c0e64fd-a181-465d-a3ad-b4585d2758dd,01,LOT-0001,0,selec-w,,,,,,,,,
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,LOT-0001,0,,,,,,,,,,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,0,selec-w,,,,12689640.00,EUR,,,,
