noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0018,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0019,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0020,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0021,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0022,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0023,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0024,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0025,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0026,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0027,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0028,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0029,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0030,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0031,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0032,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0033,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0034,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0035,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0036,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0037,,,,DEU
eca54e1b-066b-4624-9b25-52c469e4b387,01,,,,,BRA
eca54e1b-066b-4624-9b25-52c469e4b387,01,LOT-0001,,,,BRA
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,,,,DEA2D,DEU
2bbbdc07-fa5f-4af9-99a4-7b2e9248396f,01,LOT-0001,,,DEA2D,DEU
31817d6c-02a0-4088-8949-b5a7f9edc13e,01,,Schkopau,06258,DEE0B,DEU
31817d6c-02a0-4088-8949-b5a7f9edc13e,01,LOT-0000,Schkopau,06258,DEE0B,DEU
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,,,,DE715,DEU
1604bfc0-df6f-4412-a9b8-6bbff0548131,01,LOT-0001,,,DE715,DEU
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,,Hanau,63450,DE719,DEU
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,Hanau,63450,DE719,DEU
f1f4f430-22aa-4217-9c09-8d7d94a5516c,01,,Frankfurt Am Main,60486,DE712,DEU
f1f4f430-22aa-4217-9c09-8d7d94a5516c,01,LOT-0001,Frankfurt Am Main,60486,DE712,DEU
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,,Baden-Baden,76532,DE121,DEU
452cdf46-ea32-4091-af28-6a63ef8c9c74,01,LOT-0001,Baden-Baden,76532,DE121,DEU
0154f570-03d0-4766-90ab-501c3e9c9727,01,,München,85326,DE21B,DEU
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,München,85326,DE21B,DEU
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,,Saulheim,55291,DEB3B,DEU
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0001,Saulheim,55291,DEB3B,DEU
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0002,Saulheim,55291,DEB3B,DEU
e4ea949f-6d96-43b3-ba0f-8f48f6c8c175,01,LOT-0003,Saulheim,55291,DEB3B,DEU
ea96b9d2-128d-4482-bda5-b62255a3569c,01,,,,DE501,DEU
ea96b9d2-128d-4482-bda5-b62255a3569c,01,PAR-0001,,,DE501,DEU
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,,Bonn,53117,DEA22,DEU
d96a9962-729c-44a2-a060-f4fa4fa5caa6,01,LOT-0001,Bonn,53117,DEA22,DEU
e43bf811-04c1-4456-a92e-b8059fc60905,01,,Reiskirchen,35447,DE721,DEU
e43bf811-04c1-4456-a92e-b8059fc60905,01,LOT-0000,Reiskirchen,35447,DE721,DEU
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,,Bad Staffelstein,96231,DE24C,DEU
c1bb7efc-f32e-4d8a-a28b-7c7768dba9c8,01,LOT-0001,Bad Staffelstein,96231,DE24C,DEU
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,,Siegen,57076,DEA5A,DEU
bcfd3845-ebc1-44b8-9c34-c2d124b10fe7,01,LOT-0001,Siegen,57076,DEA5A,DEU
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,,,,DE278,DEU
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,,,DE278,DEU
2f51da30-ace1-438c-87f3-d453fea657eb,01,,Radolfzell Am Bodensee,78315,DE138,DEU
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,Radolfzell Am Bodensee,78315,DE138,DEU
89a419d8-3f95-4702-993f-d8beec8f6caa,01,,Augsburg,86154,DE271,DEU
89a419d8-3f95-4702-993f-d8beec8f6caa,01,LOT-0001,Augsburg,86154,DE271,DEU
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,,Limburg,65549,DE723,DEU
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,Limburg,65549,DE723,DEU
f9130abe-6656-41ee-90e5-fa88244bc975,01,,Schongau,86956,DE21N,DEU
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0001,Schongau,86956,DE21N,DEU
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0002,Schongau,86956,DE21N,DEU
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0003,Schongau,86956,DE21N,DEU
f9130abe-6656-41ee-90e5-fa88244bc975,01,LOT-0004,Schongau,86956,DE21N,DEU
0e1e53c6-2e9a-43e0-b379-157699a278b1,01,,Hamburg,20539,DE600,DEU
0e1e53c6-2e9a-43e0-b379-157699a278b1,01,PAR-0000,Hamburg,20539,DE600,DEU
99e8a48e-55be-4c76-b600-3777e7cba28e,01,,,,DEF0C,DEU
99e8a48e-55be-4c76-b600-3777e7cba28e,01,LOT-0001,,,DEF0C,DEU
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,,Erfurt,99087,DEG01,DEU
a32e0e5f-cbf6-4bc8-9fe1-c6a3af7ef5f3,01,LOT-0001,Erfurt,99087,DEG01,DEU
db17c97d-c656-41ab-a10b-25b187f9f62b,01,,Koblenz,,DEB11,DEU
db17c97d-c656-41ab-a10b-25b187f9f62b,01,LOT-0001,Koblenz,,DEB11,DEU
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,,Berlin,10119,DE300,DEU
9a166902-52db-4456-b8e2-5fe3f2c51e39,01,LOT-0000,Berlin,10119,DE300,DEU
d108fbfa-8380-49ee-89d5-e5b47b1b8533,01,,Bedburg-Hau,,DEA1B,DEU
d108fbfa-8380-49ee-89d5-e5b47b1b8533,01,LOT-0001,Bedburg-Hau,,DEA1B,DEU
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,,Hohenbrunn,85662,DE21H,DEU
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,Hohenbrunn,85662,DE21H,DEU
