noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
6a370408-13db-4e37-84b8-9a80e96a5610,01,Vergabekammer des Bundes,0,Bonn,53113,DE300,DEU,http://www.bundeskartellamt.de,,reviewer,,,,,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,Controlware GmbH,DE 113 539 225,Dietzenbach,63128,DE71C,DEU,,,tenderer,,,,large,,False
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,EnBW Erneuerbare Operation & Service GmbH,DE815215393,Stuttgart,70567,DE111,DEU,https://www.enbw.com,,buyer,,,,,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,Vergabekammer Baden-Württemberg,t:07219268730,Karlsruhe,76137,DE122,DEU,,,reviewer,,,,,,
c9c6916d-697f-4b01-b55a-5cb570bbc304,01,Ems Ports Agency & Stevedoring Bet. GmbH & Co. KG,DE 811948198,Emden,26725,DE942,DEU,,,tenderer,,,,medium,,False
d915e6fc-98f1-4026-b89a-ca71511550d7,01,Kreisverwaltung Germersheim,Berichtseinheit-ID 00002630,Germersheim,76726,DEB3E,DEU,https://www.kreis-germersheim.de,,buyer,,kommun-beh,,,,
d915e6fc-98f1-4026-b89a-ca71511550d7,01,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau Rheinland-Pfalz",USt-ID DE355604198,Mainz,55116,DEB35,DEU,,,reviewer,,,,,,
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,Bezirksamt Steglitz-Zehlendorf von Berlin,11-1363306000-24,Berlin,14163,DE300,DEU,https://www.berlin.de/ba-steglitz-zehlendorf/,,buyer,,kommun-beh,,,,
7b607828-d2b7-4030-b1f8-ccfa850420c5,01,Vergabekammer des Landes Berlin,11-1300000V00-74,Berlin,10825,DE300,DEU,https://www.berlin.de/sen/wirtschaft/wirtschaftsrecht/vergabekammer/,,reviewer,,,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,Stadtverwaltung Gera,16052000-0001-49,Gera,07545,DEG02,DEU,https://www.gera.de,,buyer,https://www.vergabe.rib.de,kommun-beh,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,Vergabekammer Thüringen,16900334-0001-29,Weimar,99423,DEG05,DEU,https://landesverwaltungsamt.thueringen.de/wirtschaft/vergabekammer,,reviewer,,,,,,
de166c56-23c7-4c31-9f0e-9846fb8ea264,01,Aufhebung,16052000-0001-49,Gera,07545,DEG02,DEU,,,tenderer,,,,medium,,
05406422-b01c-4501-81f5-f3a35c83851f,01,KoPart eG,Berichtseinheit-ID 00007243,Düsseldorf,40474,DEA11,DEU,http://www.kopart.de,,serv-prov,,,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,Gemeinde Schermbeck,051700036036-31001-95,Schermbeck,46514,DEA1F,DEU,,,buyer,,koerp-oer-kommun,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,Vergabekammer Westfalen,05515-03004-07,Münster,48147,DEA33,DEU,,,reviewer,,,,,,
05406422-b01c-4501-81f5-f3a35c83851f,01,Teupe & Söhne Gerüstbau GmbH,DE123771337,Stadtlohn,48703,DEA34,DEU,,,winner,,,,medium,DEU,
32a921fc-6099-482a-b50f-05bab94d8660,01,"Stadt Bamberg 
vertreten durch:  
Immobilienmanagement 
-Abteilung Hochbau-",DE 132274925,Bamberg,96049,DE241,DEU,,,buyer,https://plattform.aumass.de/Veroeffentlichung/av2869e6-eu,grp-p-aut,,,,
32a921fc-6099-482a-b50f-05bab94d8660,01,Vergabekammer Nordbayern der Regierung von Mittelfranken,0000,Ansbach,91522,DE251,DEU,,,reviewer,,,,,,
671a062d-0e72-4040-807f-446ce257be29,01,Stadt Solingen,3596c0ed-48f0-4bd8-aa8e-5936b533bd75,Solingen,42697,DEA19,DEU,http://www.solingen.de,,buyer,,kommun-beh,,,,
671a062d-0e72-4040-807f-446ce257be29,01,Vergabekammer Westfalen,d23310b2-0d0f-4e62-b138-0c1dd4bc3495,Münster,48147,DEA33,DEU,,,reviewer,,,,,,
671a062d-0e72-4040-807f-446ce257be29,01,Klingenstadt Solingen Konzernbeschaffung und Medienservice,97df460b-262c-4f43-9a59-dbc9f0611aaa,Solingen,42601,DEA19,DEU,http://www.solingen.de,,,,,,,,
671a062d-0e72-4040-807f-446ce257be29,01,Mese Putz,ed3394bf-354a-47d7-ba4a-7c31befaa423,Bonn,53179,DEA22,DEU,,,tenderer,,,,micro,,
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,Entwicklungsgesellschaft Industriegebiet Halle-Saalkreis mbH & Co. KG,.,Halle (Saale),06108,DEE02,DEU,,,buyer,,pub-undert-ra,,,,
b8d6782f-fde0-4efd-88f2-7be05e488c82,01,Verkabekammer Landesverwaltungsamt Sachsen Anhalt,.,Halle Saale,06112,DEE02,DEU,,,reviewer,,,,,,
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,Messe Erfurt GmbH,DE173364228,Erfurt,99094,DEG01,DEU,,,buyer,,pub-undert,,,,
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,Schicker Thies Partnerschaft von Rechtsanwälten mbB,DE205009126,Erfurt,99084,DEG01,DEU,https://schickerthies.de/,,,,,,,,
01a0a017-b599-47f5-bb96-ad3a5279dfb2,01,Vergabekammer des Freistaates Thüringen beim Thüringer Landesverwaltungsamt,16900334-0001-29,Weimar,99423,DEG05,DEU,,,reviewer,,,,,,
13749400-50bc-453b-af41-538d48435248,01,DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16),fb197f94-7578-4673-8a57-4642ae120532,Frankfurt Main,60327,DE712,DEU,http://www.deutschebahn.com/bieterportal/,,buyer,,,,,,
13749400-50bc-453b-af41-538d48435248,01,Vergabekammer des Bundes,0a9ea480-08e4-4ab6-bf12-d722d0ad54b6,Bonn,53113,DEA22,DEU,,,reviewer,,,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,Kreisausschuss des Lahn-Dill-Kreises 12.4 Zentrale Vergabe- und Submissionsstelle,06532000-KreisausschussLDK-76,Wetzlar,35576,DE722,DEU,https://www.lahn-dill-kreis.de,,buyer,,kommun-beh,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,Regierungspräsidium Darmstadt,t:06151126603-1,Darmstadt,64283,DE711,DEU,https://www.rp-darmstadt.hessen.de,,reviewer,,,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,Regierungspräsidium Darmstadt,t:06151126603-2,Darmstadt,64283,DE711,DEU,https://www.rp-darmstadt.hessen.de,,,,,,,,
d944448a-9232-41c7-b2a5-5ba1ef6b0c51,01,Aulbach Gerüstbau e.K,DE131952836,Aschaffenburg,63739,DE261,DEU,,,tenderer,,,,small,,False
46665f56-3961-43b7-9815-fee8452fef01,01,Südbrandenburgischer Abfallzweckverband -  Verbandsvorsteher - Herr Riesner,DE227680101,Ludwigsfelde,14974,DE40H,DEU,https://www.sbazv.de,,buyer,,koerp-oer-kommun,,,,
46665f56-3961-43b7-9815-fee8452fef01,01,Vergabekammer des Landes Brandenburg,DE325561763a,Potsdam,14473,DE404,DEU,,,reviewer,,,,,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,Stadtverwaltung Bad Salzungen,DE 813100236,Bad Salzungen,36433,DEG0R,DEU,www.badsalzungen.de,,buyer,,kommun-beh,,,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,"Vergabekammer des Freistaates Thüringen, Thüringer Landesverwaltungsamt, Referat 250",16900334-0001-29,Weimar,99423,DEG05,DEU,,,reviewer,,,,,,
515eea47-64b4-43a9-b2b1-fdb7d7895ef0,01,JNS-ING GmbH,DE316980219,Waltershausen,99880,DEG0C,DEU,,,tenderer,,,,micro,,
441bf2d2-b2ab-4701-85af-025a1d352a34,01,VGV Asbach ZVS,Berichtseinheit-ID 00001226,Asbach,53567,DEB18,DEU,https://www.vg-asbach.de,,buyer,,kommun-beh,,,,
5872a17b-44fb-4261-96de-d8513acb1c67,01,Gemeinde Rommerskirchen,051620028028-31001-64,Rommerskirchen,41569,DEA1D,DEU,https://www.rommerskirchen.de,,buyer,,koerp-oer-kommun,,,,
5872a17b-44fb-4261-96de-d8513acb1c67,01,B2Sozietät Rechtsanwälte,DE408069581-00001,Düsseldorf,41363,DEA11,DEU,https://www.b2sozietaet.de,,serv-prov,,,,,,
