noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
22ada15a-2249-4bd4-a671-8e8897670f68,01,LOT-0001,
bd7642d8-4463-4602-8602-19e6282d684c,01,LOT-0001,False
0010ea9b-1249-49d6-afe2-6a10ac0d7b74,01,LOT-0000,False
39e93420-e42a-4bb1-98d8-82065ded5ff7,01,LOT-0000,False
c7672e7d-503f-42ee-acc7-5406d8fa8918,01,LOT-0000,False
caa45dc9-fc51-462d-bba4-d63ab3b28536,01,LOT-0000,False
1dea86c8-4d21-4e3f-99ef-0c7b9affc2f3,01,LOT-0001,
6e40078a-968e-4451-a6f9-0066cfea02be,01,LOT-0001,True
d0413b88-e4ff-4670-80a4-bd8c90178d61,01,LOT-0001,True
01a09f71-aedb-42a9-a01c-dcf8f6e6d57f,01,LOT-0001,True
36bd70d5-a3c2-46af-b6ad-fb9365b5cdc0,01,LOT-0000,False
fa3b2024-c9bd-45dc-89a1-59df6965bc46,01,LOT-0001,
a1922220-370b-4b20-9468-db1dcc39e4e2,01,LOT-0001,False
d8a37cbb-1fd9-4cdc-be92-43d9784ee74e,01,LOT-0001,False
ddda550b-8e79-492f-8c1c-1f8558261896,01,LOT-0001,False
ddda550b-8e79-492f-8c1c-1f8558261896,01,LOT-0002,False
ddda550b-8e79-492f-8c1c-1f8558261896,01,LOT-0003,False
ab1a2196-3b3e-400c-88a6-8b410e918be1,01,LOT-0001,
d9f6395a-527b-49cd-a0ec-bf43a062cdf0,01,LOT-0001,True
89cb5b35-440d-4641-86a9-c4d96eb3adc6,01,LOT-0000,
9ae1067f-71f7-4ef3-874e-52d6c4dcad8c,01,LOT-0001,True
9ae1067f-71f7-4ef3-874e-52d6c4dcad8c,01,LOT-0002,True
2a65f837-7dff-4d67-8571-a798cef1350f,01,LOT-0001,True
2a65f837-7dff-4d67-8571-a798cef1350f,01,LOT-0002,True
41d7ac31-f585-4156-af42-5415f9f2b774,01,LOT-0000,False
1d7eb9ce-d42c-41f0-a4f3-1cc0c4d87e20,01,LOT-0000,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,LOT-0000,True
947fc897-edd4-43ea-b443-63e8d47a9149,01,LOT-0001,True
947fc897-edd4-43ea-b443-63e8d47a9149,01,LOT-0002,True
f25e66fd-bd2e-4aea-b339-b37895bbf089,01,LOT-0001,True
d44abc03-50f0-4083-aab5-466efac05753,01,LOT-0000,
ed4e3ad6-5358-410f-8b45-9cbba1f7afef,01,LOT-0001,False
ed4e3ad6-5358-410f-8b45-9cbba1f7afef,01,LOT-0002,False
ed4e3ad6-5358-410f-8b45-9cbba1f7afef,01,LOT-0003,False
ed4e3ad6-5358-410f-8b45-9cbba1f7afef,01,LOT-0004,False
40c92953-19e6-4dd6-beac-39c302fd25cc,01,LOT-0000,
49d4a12a-7b77-437a-a031-1d1260b427a4,01,LOT-0001,
afeff892-c330-4fb8-973c-6b65d1d3c1c1,01,LOT-0001,True
49272a08-0469-437d-bf1f-ba641417f443,01,LOT-0000,
01a0a3e8-422f-4756-96c5-d2a2a05e53bf,01,LOT-0001,False
76042013-ac39-4932-9f1a-4656a0011b6b,01,PAR-0001,False
a9f62a24-31b1-425a-b9aa-ca085ced8bf4,01,LOT-0000,False
20176d84-f18c-4068-b17c-d013cf0cfe0f,01,LOT-0000,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,LOT-0001,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,LOT-0002,
e4f3839a-4932-42c0-9b85-f1745d43c9c6,01,LOT-0000,
a040d776-b7d8-40d6-81c9-b50e1aa6daeb,01,LOT-0001,False
9ad7cb70-56ac-4e93-ad85-e249a639d263,01,LOT-0000,
f1c9a3f9-c8d4-42b4-9e98-1838d72567e0,01,LOT-0001,True
2a892d69-436e-4ab9-b235-22191b2a0817,01,LOT-0001,
0a1d2ce8-8ee7-4d56-a411-9ddfdfcad7f9,01,LOT-0000,
a98df0ee-02df-4926-a699-f0264bc70ae4,01,LOT-0000,False
2c665769-7e2e-4628-991e-28dcf9c3821a,01,LOT-0000,True
1ccd2bd7-0f11-41f1-899f-4de6866a4092,01,LOT-0000,False
a9485f5f-9d7f-4d89-b14e-948fc88864b9,01,LOT-0001,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0001,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0002,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0003,
4c995852-f3a4-4bec-b31c-16ee0f73a0e2,01,LOT-0001,False
68ed286a-7dcd-4fa8-8fe1-cef357b78bb9,01,LOT-0001,True
68ed286a-7dcd-4fa8-8fe1-cef357b78bb9,01,LOT-0002,True
